"NICODE","INSTCODE","ACCENUMB","COLLNUMB","COLLCODE","GENUS","SPECIES","SPAUTHOR","SUBTAXA","SUBTAUTHOR","CROPNAME","ACCENAME","ACQDATE","ORIGCTY","COLLSITE","LATTITUDE","LONGITUDE","ELEVATION","COLLDATE","BREDCODE","SAMPSTAT","ANCEST","COLLSRC","DONORCODE","DONORNUMBER","OTHERNUMB","DUPLSITE","STORAGE ","REMARKS","COLLDESCR","BREDDESCR","DONORDESCR","DUPLDESCR","ACCEURL","MLSSTAT","AEGISSTAT","SMTAINST","SMTANUMB","SMTADATE","SMTACCE","SMTAGENUS","SMTARECIP","SMTAREMARK"
BIH,BIH039,GB00048,ZK-3-CD 7,BIH039,Trifolium,pratense,L.,,,Red clover,Crvena djetelina,20081230,,Village Natpolje (_ipovo),441014N,0171127E,711,20070830,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00049,VR-3-S2,BIH039,Lotus,corniculatus,L.,,,Birdsfoot trefoil,Smiljkita,20081230,,Ribnik,442642N,0164703E,920,20070623,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00050,_L-3-S3,BIH039,Lotus,corniculatus,,,,Birdsfoot trefoil,Smiljkita,20081230,,Janj (_ipovo),441231N,0170825E,668,20070831,,410,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00051,?G-3-J2,BIH039,Dactylis,glomerata,L.,,,Cocksfoot,Je_evica,20081231,,Janj (_ipovo),441003N,0171102E,728,20070830,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00052,VR-3-J1,BIH039,Dactylis,glomerata,L.,,,Cocksfoot,Je_evica,20081231,,Ribnik,442663N,0164703E,925,20070823,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00053,?G-3-MR2,BIH039,Phleum,pratense,L.,,,Timothy,Ma?ji repak,20081231,,Stri?i?i (Manja?a),443219N,0165332E,748,20070820,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00054,ZK-3-MR1,BIH039,Phleum,pratense,L.,,,Timothy,Ma?ji repak,20081231,,Village Strojice (_ipovo),440658N,0171057E,1087,20070630,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00055,VR-3-LV2,BIH039,Festuca,pratensis,L.,,,Meadow fescue,Livadski vijuk,20081231,,Janjske otoke (_ipovo),441231N,0170825E,668,20070630,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00056,VR-3-LV3,BIH039,Festuca,pratensis,L.,,,Meadow fescue,Livadski vijuk,20081231,,Village Strojice (_ipovo),440658N,0171056E,1092,20070831,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00057,B?-3-LV4,BIH039,Festuca,pratensis,L.,,,Meadow fescue,Livadski vijuk,20081231,,Srpski Kupres,440911N,0170831E,1190,20070830,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00058,ZK-3-LV5,BIH039,Festuca,pratensis,L.,,,Meadow fescue,Livadski vijuk,20081231,,Juri_i? _i_a,442646N,0164714E,1179,20070823,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00507,VR-3-1,BIH039,Phleum,pratense,L.,,,Timothy,Ma?ji repak,20090709,,Ribnik,442542N,0164627E,541,20080920,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00508,VR-3-3,BIH039,Agrostis ,alba,L.,,,Redtop,Bijela rosulja,20090709,,Sitnica,443250N,0165632E,738,20080920,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00509,VR-3-5,BIH039,Lolium,perene,L.,,,Rye grass,Engleski ljulj,20090709,,Srebrenik,442834N,1726053E,1107,20080829,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GD00510,VR-3-6,BIH039,Lotus,corniculatus,L.,,,Birdsfoot trefoil,Smiljkita,20090709,,Manja?a,444435N,0170237E,421,20080709,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00511,VR-3-8,BIH039,Lolium,perene,L.,,,Rye grass,Engleski ljulj,20090709,,Srebrenik,442834N,0172605E,1107,20080829,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00512,VR-3-9,BIH039,Lotus,corniculatus,L.,,,Birdsfoot trefoil,Smiljkita,20090709,,Ravna Mlini_ta,441541N,0165357E,1142,20080819,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00513,VR-3-10,BIH039,Lolium,multiflorum,L.,,,Italian ryegrass,Italijanski ljulj,20090709,,Borja (Tesli?),443324N,0174204E,780,20081014,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00514,VR-3-11,BIH039,Dactylis,glomerata,L.,,,Cocksfoot,Je_evica,20090709,,Ravna Mlini_ta,441611N,0165332E,1131,20080720,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00515,VR-3-12,BIH039,Trisetum,flavescens,L.,,,Yellow oat grass,Zlato_uta zobika,20090709,,Nevesinje,431806N,0180542E,861,20080721,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00516,VR-3-13,BIH039,Agrostis ,alba,L.,,,Redtop,Bijela rosulja,20090709,,Bile?a,425516N,0182354E,641,20080721,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00517,VR-3-14,BIH039,Vicia,cracca,L.,,,Bird vetch,Pti?ja grahorica,20090709,,Srebrenik,442834N,0172605E,1107,20080829,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00518,VR-3-16,BIH039,Lathyrus,sylvestrus,L.,,,Flat pea,Grahor,20090709,,Srebrenik,442834N,0172605E,1107,20080829,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00519,VR-3-17,BIH039,Trisetum,flavescens,L.,,,Yellow oat grass,Zlato_uta zobika,20090709,,Gacko,430418N,0183214E,957,20080822,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00520,VR-3-18,BIH039,Trisetum,flavescens,L.,,,Yellow oat grass,Zlato_uta zobika,20090709,,"Blagaj, Kupres",440511N,0170814E,1129,20080809,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00521,BDJ-3-1,BIH039,Festuca,rubra,Huds.,,,Red fescue,Livadski vijuk,20090709,,Mountain _i_a (Ribnik),442635N,0164712E,1089,20080623,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00522,BDJ-3-2,BIH039,Festuca,rubra,Huds.,,,Red fescue,Livadski vijuk,20090709,,Ravna Mlini_ta,441455N,0165016E,1105,20080627,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00523,BDJ-3-3,BIH039,Trifolium,repens,L.,,,White clover,Bijela djetelina,20090709,,Nevesinje,431806N,0180542E,861,20080624,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00524,BDJ-3-4,BIH039,Trifolium ,pratense,L.,,,Red clover,Crvena djetelina,20090709,,Mountain _i_a (Ribnik),443241N,0165134E,1109,20080708,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00525,BDJ-3-5,BIH039,Festuca,ovina,Huds.,,,Sheep fescue,Ov?ija vlasulja,20090709,,Ravna Mlini_ta,441416N,0165037E,1135,20080710,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
BIH,BIH039,GB00526,BDJ-3-6,BIH039,Trifolium,pratense,L.,,,Red clover,Crvena djetelina,20090709,,Vla_i?,442613N,0172946E,1105,20080715,,110,,13,,,,BIH039,13,,,,,,,,,,,,,,,
